,the_date,avgTemp,precipitation,avgWindSpeed,avghumidity,maxtemp,mintemp,maxwind,minwind,dir,avgF,MaxF,minF
77,3/17/2016,7.28,0.762,1.982618056,98.01736111,15.01,3.164,6.248,0.308,248.4986111,45.1,59.02,37.7
78,3/18/2016,2.7,1.27,2.657993056,94.54236111,8.5,-5.44,7.384,0.316,277.8211667,36.86,47.3,22.21
79,3/19/2016,-0.45,0,1.798791667,67.39652778,5.135,-6.369,3.568,0.684,237.6379375,31.19,41.24,20.54
80,3/20/2016,-0.62,0.508,1.168770833,79.824375,4.39,-6.709,2.629,0.089,113.1425347,30.88,39.9,19.92
81,3/21/2016,1.28,0.508,2.349722222,69.54986111,7.132,-2.929,5.66,0.205,238.6718264,34.3,44.84,26.73
82,3/22/2016,4.64,0,2.362006944,53.05375,9.57,-2.601,4.501,0.33,237.7430556,40.35,49.23,27.32
83,3/23/2016,7.83,0,2.088805556,68.79118056,17.24,1.019,3.621,0.554,152.5581667,46.09,63.03,33.83
84,3/24/2016,3.48,0.762,2.009118056,75.05618056,9.7,0.382,4.728,0.404,114.6084653,38.26,49.46,32.69
85,3/25/2016,3.92,4.826,1.562041667,99.08125,11.12,0.481,3.417,0.149,240.4047222,39.06,52.02,32.87
86,3/26/2016,3.96,0,1.3759375,94.69930556,10.23,-0.205,2.457,0.479,163.4296736,39.13,50.41,31.63
87,3/27/2016,4.6,0,1.741854167,99.35486111,9.36,1.213,3.77,0.242,165.4336111,40.28,48.85,34.18
88,3/28/2016,3.44,13.462,2.130451389,99.99375,6.148,1.64,5.604,0.219,191.7582917,38.19,43.07,34.95
89,3/29/2016,2.93,0,2.991069444,79.0475,7.136,-1.406,5.953,0.462,311.9438056,37.27,44.84,29.47
90,3/30/2016,6.9,0,2.565055556,54.7475,14.74,-1.314,4.59,0.469,211.3354167,44.42,58.53,29.63
91,3/31/2016,14.72,0,3.450770833,69.75076389,20.75,4.698,6.206,1.59,190.0763889,58.5,69.35,40.46
92,4/1/2016,13.65,3.556,2.209479167,94.94076389,22.11,6.164,4.192,0.198,218.2826111,56.57,71.8,43.1
93,4/2/2016,4.55,6.604,1.664513889,97.50270833,8.8,-0.61,4.147,0.197,236.0770139,40.19,47.84,30.9
94,4/3/2016,-3.08,1.778,2.913423611,75.16381944,0.865,-6.926,6.611,0.21,288.24375,26.46,33.56,19.53
95,4/4/2016,-5.81,13.716,1.8760625,97.44375,-4.702,-8.88,3.453,0.514,154.2071597,21.54,23.54,16.02
96,4/5/2016,-2.75,0.508,2.002583333,56.99430556,2.75,-9.16,3.83,0.376,251.1529931,27.05,36.95,15.51
97,4/6/2016,1.79,0,2.859069444,62.22173611,5.211,-7.639,5.251,0.223,179.8847222,35.22,41.38,18.25
98,4/7/2016,8.19,16.256,2.9506875,100,11.27,3.316,9.03,0.128,203.4513889,46.74,52.29,37.97
99,4/8/2016,1.76,0,2.395340278,96.36159722,6.365,-3.07,4.748,0.283,288.9736111,35.17,43.46,26.47
100,4/9/2016,2.5,0,1.781986111,76.97590278,9.17,-3.682,3.601,0.257,258.9595486,36.5,48.51,25.37
101,4/10/2016,3.44,0.254,1.985923611,57.47076389,8.23,-4.001,4.655,0.102,256.6555556,38.19,46.81,24.8
102,4/11/2016,7.24,5.334,2.4745625,99.92986111,11.03,2.235,4.546,1.329,190.6020833,45.03,51.85,36.02
103,4/12/2016,5.09,6.858,2.086173611,100,9.97,-0.378,5.36,0.456,284.6953194,41.16,49.95,31.32
104,4/13/2016,6.66,0,1.6071875,84.81256944,12.84,0.29,2.71,0.391,142.9224375,43.99,55.11,32.52
105,4/14/2016,7.99,0,1.692847222,63.14013889,14.31,1.458,3.22,0.165,116.0929097,46.38,57.76,34.62
106,4/15/2016,10.35,0,1.665625,36.38048611,17.15,3.213,3.42,0.307,80.15847222,50.63,62.87,37.78
107,4/16/2016,10.6,0,1.867180556,24.87173611,17.61,4.565,4.116,0.271,128.7541181,51.08,63.7,40.22
108,4/17/2016,16.04,0,1.077909722,26.74270833,24.02,4.546,2.378,0.112,165.9523264,60.87,75.24,40.18
109,4/18/2016,17.74,0,1.6574375,29.81861111,25.72,8.02,3.46,0.288,119.3459306,63.93,78.3,46.44
110,4/19/2016,10.92,0.254,1.965729167,38.33972222,16.48,5.85,3.986,0.473,259.4347014,51.66,61.66,42.53
111,4/20/2016,10.28,0,1.662236111,26.04875,18.19,3.009,3.682,0.061,191.1549028,50.5,64.74,37.42
112,4/21/2016,15.62,0,1.569777778,36.99145833,24.88,2.99,3.96,0.1,185.0525694,60.12,76.78,37.38
113,4/22/2016,16.92,1.778,1.174305556,78.10069444,22.95,12.17,3.122,0.169,202.9670903,62.46,73.31,53.91
114,4/23/2016,11.41,0,2.145340278,48.69541667,17.92,3.184,3.908,0.765,252.6590139,52.54,64.26,37.73
115,4/24/2016,10.15,0,1.496708333,19.02819444,14.86,2.869,4.069,0.207,254.9882222,50.27,58.75,37.16
116,4/25/2016,11,0,1.252465278,31.61597222,16.65,6.978,3.003,0.019,169.7748958,51.8,61.97,44.56
117,4/26/2016,2.96,9.906,1.017590278,92.40701389,6.921,0.014,2.488,0,146.9564375,37.33,44.46,32.03
118,4/27/2016,8.52,0,1.686902778,65.508125,14.32,-0.559,4.572,0.037,272.9405278,47.34,57.78,30.99
119,4/28/2016,9.57,0,1.533138889,37.71215278,16.07,1.561,2.943,0.263,119.6425903,49.23,60.93,34.81
120,4/29/2016,9.88,0,1.484881944,49.46479167,16.01,3.857,3.092,0.291,149.7304583,49.78,60.82,38.94
121,4/30/2016,11.67,0,1.3544375,52.38145833,18.5,5.56,3.04,0.112,173.6455556,53.01,65.3,42.01
122,5/1/2016,5.43,2.032,1.183013889,89.38118056,7.867,3.507,2.632,0.111,158.3797569,41.77,46.16,38.31
123,5/2/2016,6.84,16.764,0.791027778,100,8.87,3.836,1.923,0.003,152.0301944,44.31,47.97,38.9
124,5/3/2016,8.1,2.286,0.783965278,100,9.82,6.398,2.404,0,115.6950347,46.58,49.68,43.52
125,5/4/2016,6.34,6.858,1.561090278,100,7.325,4.811,3.294,0.125,44.21752083,43.41,45.19,40.66
126,5/5/2016,8.59,0.254,1.933548611,100,11.42,4.829,3.636,0.326,39.32556944,47.46,52.56,40.69
127,5/6/2016,10.78,18.796,1.518118056,99.67986111,17.8,6.686,3.108,0.139,96.76520833,51.4,64.04,44.03
128,5/7/2016,9.67,2.794,1.144034722,100,11.57,6.781,2.276,0.093,108.5612431,49.41,52.83,44.21
129,5/8/2016,9.47,1.016,2.446013889,94.40506944,12.59,5.286,6.446,0.456,257.9395833,49.05,54.66,41.51
130,5/9/2016,10.08,0,2.592743056,52.32909722,16.11,4.766,5.771,0.31,290.5887361,50.14,61,40.58
131,5/10/2016,14.57,0,1.602958333,38.46083333,20.95,5.413,3.478,0.025,292.8107083,58.23,69.71,41.74
132,5/11/2016,18.93,0,1.482243056,34.54777778,25.69,10.06,2.501,0.285,228.6977708,66.07,78.24,50.11
133,5/12/2016,18.53,0,1.604194444,38.42798611,25.68,9.36,3.128,0.614,169.8599931,65.35,78.22,48.85
134,5/13/2016,14.55,10.16,1.552236111,93.72131944,18.56,10.16,3.325,0,221.1822431,58.19,65.41,50.29
135,5/14/2016,15.18,7.112,2.017972222,88.96625,22.8,5.371,5.041,0.318,239.8270833,59.32,73.04,41.67
136,5/15/2016,6.19,0,3.313916667,70.35701389,11.23,2.721,5.285,1.299,288.0368056,43.14,52.21,36.9
137,5/16/2016,8.82,0,2.721777778,48.08347222,14.02,3.087,6.039,0.335,278.3421597,47.88,57.24,37.56
138,5/17/2016,14.02,0,1.843493056,48.68979167,19.97,7.916,4.166,0.273,265.1074861,57.24,67.95,46.25
139,5/18/2016,14.71,0,1.2350625,49.60625,21.32,8.48,2.316,0.254,153.1969514,58.48,70.38,47.26
140,5/19/2016,12.78,5.334,1.068625,75.53423611,20.77,7.259,2.395,0.001,190.1441875,55,69.39,45.07
141,5/20/2016,16.2,0,0.911798611,86.11027778,23.22,7.395,2.064,0,160.7724306,61.16,73.8,45.31
142,5/21/2016,15.23,0,1.228388889,67.27104167,20.68,10.38,2.49,0.27,188.6487361,59.41,69.22,50.68
143,5/22/2016,16.33,0,1.089833333,63.08201389,22.93,10.37,1.965,0.044,172.6690972,61.39,73.27,50.67
144,5/23/2016,19.81,0.254,1.337875,50.83916667,27.12,10.71,3.387,0.321,121.4969306,67.66,80.82,51.28
145,5/24/2016,14.65,5.842,1.161652778,99.19506944,19,11.38,2.344,0.099,159.6649583,58.37,66.2,52.48
146,5/25/2016,21.97,0,1.294416667,62.65972222,30.52,11.7,2.945,0.059,242.8687153,71.55,86.94,53.06
147,5/26/2016,23.95,0,1.1319375,57.05173611,29.88,17.59,2.345,0.211,166.3285764,75.11,85.78,63.66
148,5/27/2016,22.83,0,1.443625,75.25756944,29.41,17.34,3.484,0.344,177.6180556,73.09,84.94,63.21
149,5/28/2016,25.51,0,1.031097222,72.345625,33.68,17.54,2.321,0.138,193.2791042,77.92,92.62,63.57
150,5/29/2016,19.29,2.54,0.880951389,93.97638889,24.61,14.51,1.98,0,117.3273958,66.72,76.3,58.12
151,5/30/2016,19.36,15.748,1.276958333,100,25.07,15.13,2.896,0.03,180.5573819,66.85,77.13,59.23
152,5/31/2016,22.04,0,1.573819444,60.92548611,27.28,16.85,2.91,0.214,298.0618472,71.67,81.1,62.33
153,6/1/2016,20.43,0,1.304152778,61.98833333,27.33,12.45,3.046,0.021,127.1361528,68.77,81.19,54.41
154,6/2/2016,19.56,0.254,1.588854167,73.338125,25.64,12.52,2.957,0.416,156.9688125,67.21,78.15,54.54
155,6/3/2016,17.02,0.762,1.223416667,100,20.23,13.42,2.5,0,189.7068958,62.64,68.41,56.16
156,6/4/2016,21.76,0.254,0.825104167,93.21923611,28.26,15.07,1.762,0.079,176.62175,71.17,82.87,59.13
157,6/5/2016,16.56,43.944,1.559958333,100,17.91,15.29,3.419,0.096,173.9342361,61.81,64.24,59.52
158,6/6/2016,20.35,1.524,1.479770833,94.90923611,25.81,15.61,3.764,0.377,262.0218056,68.63,78.46,60.1
159,6/7/2016,17.89,0,1.621611111,91.83756944,25.42,12.36,3.104,0.253,273.3301736,64.2,77.76,54.25
160,6/8/2016,14.15,0,2.031666667,75.01354167,18.88,9.74,4.157,0.554,296.7243056,57.47,65.98,49.53
161,6/9/2016,13.26,0,2.221923611,59.50326389,17.95,8.62,4.405,0.415,302.0256944,55.87,64.31,47.52
162,6/10/2016,16.34,0,1.362881944,51.79159722,23.25,10.07,3.464,0.118,286.8837222,61.41,73.85,50.13
163,6/11/2016,14.49,9.398,1.092944444,93.62152778,16.94,10.4,2.679,0.222,193.9131944,58.08,62.49,50.72
164,6/12/2016,14.33,0.254,2.227875,80.41159722,21.29,9.8,5.308,0.917,301.9995903,57.79,70.32,49.64
165,6/13/2016,14.82,0.254,2.100888889,74.145625,20.83,9.57,4.027,0.56,312.7524722,58.68,69.49,49.23
166,6/14/2016,18.65,0,1.606138889,56.63965278,24.39,10.46,3.033,0.357,311.75625,65.57,75.9,50.83
167,6/15/2016,21.9,0,1.221701389,46.31055556,27.18,15.89,2.236,0.206,296.576125,71.42,80.92,60.6
168,6/16/2016,22.18,0,1.191944444,47.92986111,28.26,15.31,2.273,0.36,163.3894861,71.92,82.87,59.56
169,6/17/2016,20.09,0,0.939138889,52.25777778,27.1,13.1,1.845,0.24,151.0861042,68.16,80.78,55.58
170,6/18/2016,21.97,0,1.109270833,45.53958333,28.99,14.19,2.94,0.102,150.2299444,71.55,84.18,57.54
171,6/19/2016,20.79,0,1.762486111,62.81465278,28.67,13.39,3.369,0.459,175.0784722,69.42,83.61,56.1
172,6/20/2016,21.86,0.508,1.824194444,80.20270833,29.09,13.52,3.502,0.337,188.9920833,71.35,84.36,56.34
173,6/21/2016,19.94,0,1.543618056,53.12444444,25.8,12.78,3.587,0.158,281.6874097,67.89,78.44,55
174,6/22/2016,17.67,0,1.389833333,49.74590278,23.43,12.43,3.16,0.243,261.7042083,63.81,74.17,54.37
175,6/23/2016,20.43,0,1.2411875,49.51180556,27.74,13.19,2.509,0.083,259.6704306,68.77,81.93,55.74
176,6/24/2016,21.44,0,1.12675,46.38236111,27.96,14.52,2.629,0.251,159.7977917,70.59,82.33,58.14
177,6/25/2016,21.82,0,1.045770833,52.15965278,29.33,14.06,1.86,0.03,175.7384028,71.28,84.79,57.31
178,6/26/2016,22.49,0,1.476090278,65.65291667,29.69,14.12,2.821,0.167,175.8729861,72.48,85.44,57.42
179,6/27/2016,21.82,0,1.960215278,75.63159722,28.69,15.25,3.56,0.528,187.0951389,71.28,83.64,59.45
180,6/28/2016,20.63,2.54,1.666736111,98.56736111,24.56,18.55,3.386,0.136,182.3652778,69.13,76.21,65.39
181,6/29/2016,21.95,0,1.212229167,91.099375,27.53,16.63,2.499,0.045,300.4465278,71.51,81.55,61.93
182,6/30/2016,22.64,0,0.952784722,67.67152778,28.32,15.69,1.864,0.002,279.3210208,72.75,82.98,60.24
183,7/1/2016,20.97,3.048,1.943826389,85.14555556,27.3,13.09,3.786,0.05,236.9596667,69.75,81.14,55.56
184,7/2/2016,18.23,0,1.633194444,70.07645833,22.82,13.35,3.601,0.251,313.1372708,64.81,73.08,56.03
185,7/3/2016,21.08,0,1.459673611,52.39583333,26.89,13.65,3.003,0.681,315.3909236,69.94,80.4,56.57
186,7/4/2016,23.16,6.35,1.305409722,53.47388889,29,15.28,2.529,0.113,263.040625,73.69,84.2,59.5
187,7/5/2016,23.55,6.096,0.857138889,94.59763889,29.68,17.08,1.927,0.008,212.0243125,74.39,85.42,62.74
188,7/6/2016,26.41,0,1.133340278,73.80493056,31.89,20.19,2.878,0.079,270.3919097,79.54,89.4,68.34
189,7/7/2016,23.85,0.508,1.165840278,92.75555556,30.59,20.26,3.994,0.155,166.4995694,74.93,87.06,68.47
190,7/8/2016,20.13,0.254,1.116951389,97.28277778,26.94,13.55,2.257,0.266,97.36388889,68.23,80.49,56.39
191,7/9/2016,14.99,0,0.706902778,100,16.55,13.56,1.806,0,100.2137014,58.98,61.79,56.41
192,7/10/2016,16.64,0,0.835423611,100,21.42,13.01,1.675,0.014,160.5273611,61.95,70.56,55.42
193,7/11/2016,19.26,0,0.982631944,99.275,25.99,13.05,2.671,0,161.0538958,66.67,78.78,55.49
194,7/12/2016,22.46,0,1.136958333,93.02409722,29.42,14.55,2.164,0.296,204.8979167,72.43,84.96,58.19
195,7/13/2016,24.34,0,1.819027778,80.77118056,31.06,17.1,3.134,0.453,197.7951389,75.81,87.91,62.78
196,7/14/2016,23.21,0,1.492173611,97.13208333,28.94,19.59,3.308,0.068,201.88625,73.78,84.09,67.26
197,7/15/2016,24.49,8.128,1.045256944,87.37277778,31.46,17.23,2.768,0.069,257.9538681,76.08,88.63,63.01
198,7/16/2016,23.22,0.508,1.3269375,93.93729167,29.47,17.59,2.997,0.449,282.5623403,73.8,85.05,63.66
199,7/17/2016,24.44,0,1.143784722,85.34659722,30.78,19.32,2.042,0.246,216.4401389,75.99,87.4,66.78
200,7/18/2016,25.05,0,1.641465278,75.70125,31.31,18.36,2.986,0.538,248.9881944,77.09,88.36,65.05
201,7/19/2016,20.12,0,1.240402778,55.42576389,25.79,13.79,2.629,0.152,310.565,68.22,78.42,56.82
202,7/20/2016,21.07,0,1.046104167,49.51215278,26.81,13.75,1.898,0.203,290.3466528,69.93,80.26,56.75
203,7/21/2016,23.96,0,1.337465278,58.01027778,30.34,15.11,2.957,0.069,240.866875,75.13,86.61,59.2
204,7/22/2016,26.7,0,1.740458333,65.30756944,33.76,18.57,3.59,0.584,261.8673611,80.06,92.77,65.43
205,7/23/2016,24.96,0.508,1.738305556,66.94013889,32.38,18.05,3.604,0.519,302.0305972,76.93,90.28,64.49
206,7/24/2016,24.9,0,1.252076389,51.12166667,31.38,17.96,2.666,0.198,279.1189653,76.82,88.48,64.33
207,7/25/2016,25.62,0,1.264541667,72.16402778,34.19,19.33,2.491,0.172,233.789375,78.12,93.54,66.79
208,7/26/2016,25.58,0,1.368583333,59.11875,31.48,19.28,3.316,0.12,282.51125,78.04,88.66,66.7
209,7/27/2016,26.24,0,1.002888889,50.09729167,32.64,19.38,2.162,0.002,250.4472083,79.23,90.75,66.88
210,7/28/2016,26.39,0.762,0.929430556,59.47416667,32.08,19.5,2.374,0.1,231.1519514,79.5,89.74,67.1
211,7/29/2016,23.3,1.524,1.326597222,95.38569444,30.65,18.72,2.362,0.394,204.6235625,73.94,87.17,65.7
212,7/30/2016,22.61,2.54,1.030138889,81.13965278,28.62,17.38,2.092,0.044,131.1590972,72.7,83.52,63.28
213,7/31/2016,18.66,24.638,1.153118056,100,21.75,16.39,2.214,0.289,81.74177083,65.59,71.15,61.5
214,8/1/2016,18.96,14.224,0.966791667,100,21.92,15.43,1.947,0.2,45.86540972,66.13,71.46,59.77
215,8/2/2016,18.59,2.54,0.896590278,100,24.43,15.06,1.545,0.051,197.9409028,65.46,75.97,59.11
216,8/3/2016,21.18,0,0.981763889,92.55118056,27.01,14.59,2.113,0.156,173.2934583,70.12,80.62,58.26
217,8/4/2016,21.86,0,1.1953125,79.33743056,27.99,14.72,2.314,0.059,190.6,71.35,82.38,58.5
218,8/5/2016,23.47,0,1.4654375,78.41791667,30.12,15.9,2.564,0.115,194.0725694,74.25,86.22,60.62
219,8/6/2016,23.3,0.254,1.136909722,82.12666667,30.48,18.19,2.621,0.34,259.6839444,73.94,86.86,64.74
220,8/7/2016,23.26,0,1.208375,66.48472222,27.96,18.14,2.643,0.103,275.8049514,73.87,82.33,64.65
221,8/8/2016,22.88,0,0.966472222,57.01763889,28.61,16.46,2.243,0.217,256.7314306,73.18,83.5,61.63
222,8/9/2016,23.95,0,1.269604167,57.75881944,29.85,16.68,2.698,0.096,189.043125,75.11,85.73,62.02
223,8/10/2016,22.75,20.066,0.9758125,99.9875,26.68,19.44,1.945,0.037,195.5605556,72.95,80.02,66.99
